"","bacteria","timepoint",".y.","group1","group2","p","p.format","p.signif","method","p.adj","p.adj.signif","taxa_level"
"175","Escherichia","D26","mean","EtOH Male","Ctl Male",0.0932400932400932,"0.09324","ns","Wilcoxon",0.341880341880342,"ns","genius"
"176","Escherichia","D26","mean","EtOH Male","EtOH Female",0.235870012340601,"0.23587","ns","Wilcoxon",0.353805018510901,"ns","genius"
"177","Escherichia","D26","mean","Ctl Female","Ctl Male",0.69047619047619,"0.69048","ns","Wilcoxon",0.69047619047619,"ns","genius"
"178","Escherichia","D26","mean","Ctl Female","EtOH Female",0.363636363636364,"0.36364","ns","Wilcoxon",0.436363636363636,"ns","genius"
"179","Escherichia","D26","mean","Ctl Male","EtOH Female",0.146853146853147,"0.14685","ns","Wilcoxon",0.341880341880342,"ns","genius"
"180","Eubacteriaceae_unclassified","D26","mean","EtOH Male","Ctl Female",0.268381627292761,"0.26838","ns","Wilcoxon",0.402572440939141,"ns","genius"
"181","Eubacteriaceae_unclassified","D26","mean","Ctl Female","Ctl Male",0.423710797166793,"0.42371","ns","Wilcoxon",0.423710797166793,"ns","genius"
"182","Eubacteriaceae_unclassified","D26","mean","Ctl Female","EtOH Female",0.233037982273905,"0.23304","ns","Wilcoxon",0.402572440939141,"ns","genius"
"183","Eubacteriales_Family_XIII_Incertae_Sedis_unclassified","D26","mean","EtOH Male","Ctl Female",0.0894057315056793,"0.08941","ns","Wilcoxon",0.268217194517038,"ns","genius"
"184","Eubacteriales_Family_XIII_Incertae_Sedis_unclassified","D26","mean","EtOH Male","Ctl Male",0.277974874223793,"0.27797","ns","Wilcoxon",0.41696231133569,"ns","genius"
"185","Eubacteriales_Family_XIII_Incertae_Sedis_unclassified","D26","mean","EtOH Male","EtOH Female",1,"1.00000","ns","Wilcoxon",1,"ns","genius"
"186","Eubacteriales_Family_XIII_Incertae_Sedis_unclassified","D26","mean","Ctl Female","Ctl Male",0.423710797166793,"0.42371","ns","Wilcoxon",0.508452956600152,"ns","genius"
